
gs1	gs1.ngenes	gs2	gs2.ngenes	ncommon	pvalue	FDR
0	17	GO:0006997	38	0	1.0	0.025848359191
0	17	GO:0046173	4	1	0.00212952452764	0.0116694875033
0	17	GO:0046174	4	0	1.0	0.0116694875033
0	17	GO:0006221	25	2	0.000119097394469	0.00064143129396
0	17	GO:0006222	4	0	1.0	0.00064143129396
0	17	GO:0006228	12	1	0.00778740941876	0.0419187128622
0	17	GO:0006611	16	0	1.0	0.0419187128622
0	17	GO:0030952	4	1	0.00212952452764	0.011291024302
0	17	GO:0030951	3	1	0.00142015770965	0.00752907103068
0	17	GO:0032446	342	0	1.0	0.00752907103068
0	17	GO:0042440	56	2	0.000664964810015	0.00349655147351
0	17	GO:0042441	4	0	1.0	0.00349655147351
0	17	GO:0044249	2375	7	0.000730705748549	0.00383339829829
0	17	GO:0090179	7	0	1.0	0.00383339829829
0	17	GO:0044262	441	3	0.00342012434325	0.0179032166028
0	17	GO:0044260	4179	4	0.343565731451	0.0179032166028
0	17	GO:0007049	1007	4	0.00471201199889	0.024542951663
0	17	GO:0033563	1	0	1.0	0.024542951663
0	17	GO:0072528	36	2	0.00026287483956	0.00136467606511
0	17	GO:0072529	32	0	1.0	0.00136467606511
0	17	GO:0072521	426	3	0.00310025499877	0.0160878617027
0	17	GO:0072522	150	2	0.00486050811381	0.0160878617027
0	17	GO:0072523	259	1	0.168329129943	0.0252195701677
0	17	GO:0072527	65	2	0.000904127275288	0.00468879396019
0	17	GO:0035129	1	0	1.0	0.00468879396019
0	17	GO:0006163	391	3	0.0024281286695	0.0123024205453
0	17	GO:0000154	2	0	1.0	0.0123024205453
0	17	GO:0006167	5	1	0.00283841705083	0.0143753937216
0	17	GO:0006166	4	0	1.0	0.0143753937216
0	17	GO:0006165	5	1	0.00283841705083	0.0143724931176
0	17	GO:0006164	138	2	0.00412236948758	0.0143724931176
0	17	GO:0003409	1	0	1.0	0.0208717567418
1	43	GO:0034199	16	2	0.000283640641313	0.00141806193719
1	43	GO:0034198	1	0	1.0	0.00141806193719
1	43	GO:0050789	7692	23	0.0029250359654	0.0145339624892
1	43	GO:0010908	2	0	1.0	0.0145339624892
1	43	GO:0018107	21	2	0.000529959598605	0.00261746430368
1	43	GO:0018105	51	1	0.0861650008498	0.00261746430368
1	43	GO:0048731	2855	14	0.00029533623607	0.00143744430647
1	43	GO:0048732	211	1	0.315945351678	0.00143744430647
1	43	GO:0016191	1	1	0.0	0.0
1	43	GO:0070507	56	3	0.000119245907216	0.000575420832915
1	43	GO:0071103	203	0	1.0	0.000575420832915
1	43	GO:0021529	3	1	0.00359411277499	0.0171602473532
1	43	GO:0060900	10	0	1.0	0.0171602473532
1	43	GO:0021780	5	1	0.00717560725851	0.0341822065589
1	43	GO:0021781	14	1	0.0231373373194	0.0341822065589
1	43	GO:0035637	577	6	0.000520138866958	0.0024662985104
1	43	GO:0035140	5	0	1.0	0.0024662985104
1	43	GO:0051046	357	6	3.69976517292e-05	0.000173917031028
1	43	GO:0051047	175	2	0.038734260444	0.000173917031028
1	43	GO:0051049	750	7	0.000330884969013	0.00155497346393
1	43	GO:0044258	1	0	1.0	0.00155497346393
1	43	GO:0007400	1	1	0.0	0.0
1	43	GO:0050877	1053	7	0.00244061645612	0.0113525986963
1	43	GO:0050872	9	0	1.0	0.0113525986963
1	43	GO:0090073	5	1	0.00717560725851	0.0332052119034
1	43	GO:0031508	2	0	1.0	0.0332052119034
1	43	GO:0051239	1402	8	0.00305192486439	0.0140968257817
1	43	GO:0051238	8	0	1.0	0.0140968257817
1	43	GO:0032886	67	3	0.000209181820174	0.000962842585704
1	43	GO:0032885	21	0	1.0	0.000962842585704
1	43	GO:0071375	237	3	0.00856392765117	0.0393899861448
1	43	GO:0071804	39	0	1.0	0.0393899861448
1	43	GO:0071377	36	3	2.84777402603e-05	0.000130960031488
1	43	GO:0071378	9	0	1.0	0.000130960031488
1	43	GO:0061101	3	1	0.00359411277499	0.0165039817179
1	43	GO:0090230	2	0	1.0	0.0165039817179
1	43	GO:0034138	63	2	0.00540651997616	0.0244881542824
1	43	GO:0034135	4	0	1.0	0.0244881542824
1	43	GO:0034134	69	2	0.00648776445006	0.0293802127356
1	43	GO:0034137	2	0	1.0	0.0293802127356
1	43	GO:0034130	69	2	0.00648776445006	0.0293696128573
1	43	GO:2000507	1	0	1.0	0.0293696128573
1	43	GO:0071822	585	5	0.00371578079566	0.0165935615388
1	43	GO:0021879	18	1	0.0301507237748	0.0165935615388
1	43	GO:0002682	752	5	0.0106049713787	0.0470488388135
1	43	GO:0002683	125	0	1.0	0.0470488388135
1	43	GO:0060166	2	1	0.00179863638266	0.00796765755038
1	43	GO:0009304	7	0	1.0	0.00796765755038
1	43	GO:0060163	2	1	0.00179863638266	0.00796554840253
1	43	GO:0090190	16	0	1.0	0.00796554840253
1	43	GO:0009653	1528	9	0.00129917352558	0.00574143869408
1	43	GO:0010919	5	0	1.0	0.00574143869408
1	43	GO:0032984	111	3	0.000970131346964	0.00426850988903
1	43	GO:0000447	4	0	1.0	0.00426850988903
1	43	GO:0007026	16	2	0.000283640641313	0.00124767079645
1	43	GO:0032320	84	0	1.0	0.00124767079645
1	43	GO:0044093	939	6	0.00617368838783	0.027083071426
1	43	GO:0044092	554	2	0.261551807047	0.027083071426
1	43	GO:0007268	512	6	0.000273738109273	0.00119003167643
1	43	GO:0007267	816	6	0.00310659129126	0.00119003167643
1	43	GO:0007266	46	0	1.0	0.0135042280364
1	43	GO:0071845	189	3	0.00454990541692	0.0197423491722
1	43	GO:0071842	2651	9	0.0425978871914	0.0197423491722
1	43	GO:0006729	6	1	0.0089616361626	0.0385155436719
1	43	GO:0060180	6	0	1.0	0.0385155436719
1	43	GO:0009987	11282	30	0.00218164406136	0.0093707073547
1	43	GO:0006725	216	1	0.322129733509	0.0093707073547
1	43	GO:0071679	3	1	0.00359411277499	0.0152716322534
1	43	GO:0034465	2	0	1.0	0.0152716322534
1	43	GO:0032924	6	1	0.0089616361626	0.0378606497475
1	43	GO:0010041	4	0	1.0	0.0378606497475
1	43	GO:0032927	3	1	0.00359411277499	0.0151727243819
1	43	GO:0018212	38	0	1.0	0.0151727243819
1	43	GO:0018210	24	2	0.000713462341476	0.0030111566531
1	43	GO:0018211	1	0	1.0	0.0030111566531
1	43	GO:0043244	58	2	0.00457568379595	0.0191905715483
1	43	GO:0043247	4	0	1.0	0.0191905715483
1	43	GO:0043241	99	3	0.000689209011094	0.00288984129213
1	43	GO:0043243	14	1	0.0231373373194	0.00288984129213
1	43	GO:0043242	42	2	0.00236014578755	0.00989439668202
1	43	GO:0060341	466	6	0.000163790832846	0.000686600008396
1	43	GO:0032226	3	0	1.0	0.000686600008396
1	43	GO:0045089	144	3	0.00208542947917	0.00865594653981
1	43	GO:0045657	4	0	1.0	0.00865594653981
1	43	GO:0045088	197	3	0.00511494156285	0.0212269651926
1	43	GO:0045226	1	0	1.0	0.0212269651926
1	43	GO:0051336	590	5	0.00385377184023	0.0159759485142
1	43	GO:0007548	226	2	0.0614206012393	0.0159759485142
1	43	GO:0030182	716	8	3.29538746507e-05	0.000135714693421
1	43	GO:0030183	43	1	0.0728831927295	0.000135714693421
1	43	GO:0042221	2445	10	0.00977616047945	0.0402448732336
1	43	GO:0042222	1	0	1.0	0.0402448732336
1	43	GO:0001675	7	1	0.0107445267007	0.0438464749256
1	43	GO:0001672	3	0	1.0	0.0438464749256
1	43	GO:0007154	1086	6	0.0122378086672	0.048996140476
1	43	GO:0007157	18	1	0.0301507237748	0.048996140476
1	43	GO:0048812	464	5	0.00134721179703	0.00535322303006
1	43	GO:0048814	29	0	1.0	0.00535322303006
1	43	GO:0051129	249	3	0.00980943536715	0.0389475168956
1	43	GO:0051128	938	8	0.000219813278706	0.000872680624762
1	43	GO:0010002	5	0	1.0	0.000872680624762
1	43	GO:0010001	95	2	0.0121882854514	0.0483810540024
1	43	GO:0055099	3	0	1.0	0.0483810540024
1	43	GO:0046880	6	1	0.0089616361626	0.0355504678312
1	43	GO:0046881	5	1	0.00717560725851	0.0284631098004
1	43	GO:0046882	4	0	1.0	0.0284631098004
1	43	GO:0046883	152	3	0.00243931776649	0.00967438630584
1	43	GO:0001654	216	0	1.0	0.00967438630584
1	43	GO:0060165	1	1	0.0	0.0
1	43	GO:0008037	64	2	0.00558039203004	0.0219137685618
1	43	GO:0048608	212	2	0.0548160566512	0.0219137685618
1	43	GO:0042713	6	1	0.0089616361626	0.0351421610283
1	43	GO:0060291	11	0	1.0	0.0351421610283
1	43	GO:0022411	190	3	0.0046183422125	0.0180934037659
1	43	GO:0022410	17	0	1.0	0.0180934037659
1	43	GO:0019226	577	6	0.000520138866958	0.002034585748
1	43	GO:0019227	4	0	1.0	0.002034585748
1	43	GO:0072319	1	1	0.0	0.0
1	43	GO:0017157	59	2	0.00473668326054	0.0183422677916
1	43	GO:0060628	1	0	1.0	0.0183422677916
1	43	GO:0060627	150	3	0.00234759781528	0.00908519811465
1	43	GO:0010260	1	0	1.0	0.00908519811465
1	43	GO:0040034	8	1	0.0125242842567	0.0482568575804
1	43	GO:0072051	1	0	1.0	0.0482568575804
1	43	GO:0048666	604	7	8.62881564246e-05	0.00032963941018
1	43	GO:0048667	452	5	0.00119824701839	0.00032963941018
1	43	GO:0048664	7	0	1.0	0.00457721423647
1	43	GO:0007521	3	1	0.00359411277499	0.0136761577086
1	43	GO:0007522	1	0	1.0	0.0136761577086
1	43	GO:0010639	136	3	0.00176548021555	0.00671232876436
1	43	GO:0046533	3	0	1.0	0.00671232876436
1	43	GO:2000017	2	1	0.00179863638266	0.00683321172098
1	43	GO:2000016	1	0	1.0	0.00683321172098
1	43	GO:2000015	3	1	0.00359411277499	0.0136523514854
1	43	GO:0035574	2	0	1.0	0.0136523514854
1	43	GO:0045747	7	1	0.0107445267007	0.0406963848094
1	43	GO:0045744	26	0	1.0	0.0406963848094
1	43	GO:0060025	2	1	0.00179863638266	0.00679873174016
1	43	GO:0060022	6	0	1.0	0.00679873174016
1	43	GO:0048858	524	5	0.00230601375515	0.00868584092839
1	43	GO:0002019	3	0	1.0	0.00868584092839
1	43	GO:0048856	3194	15	0.000266942158554	0.00100501289759
1	43	GO:0048850	2	0	1.0	0.00100501289759
1	43	GO:0033043	357	4	0.00366312600113	0.0137223685622
1	43	GO:0033598	8	0	1.0	0.0137223685622
1	43	GO:0048468	997	8	0.00033308868576	0.0012408313767
1	43	GO:0048469	89	0	1.0	0.0012408313767
1	43	GO:0032502	3773	17	0.000142762770149	0.000528645671666
1	43	GO:0032501	4842	23	1.31239550049e-06	4.85939728288e-06
1	43	GO:0032506	6	0	1.0	4.85939728288e-06
1	43	GO:0042113	83	2	0.00935732642284	0.03458606769
1	43	GO:0042110	134	0	1.0	0.03458606769
1	43	GO:0065007	8146	23	0.00656338372677	0.0240678183128
1	43	GO:0065005	12	0	1.0	0.0240678183128
1	43	GO:0065009	1537	8	0.00534789487956	0.0196063436089
1	43	GO:0065008	2188	5	0.35590478536	0.0196063436089
1	43	GO:0008150	14675	37	0.00035162214203	0.0012884511432
1	43	GO:0008152	6812	15	0.217880104624	0.0012884511432
1	43	GO:0045165	161	3	0.00287948555103	0.010548235881
1	43	GO:0000132	9	0	1.0	0.010548235881
1	43	GO:0045597	379	4	0.00453880548338	0.0165819367601
1	43	GO:0045596	320	1	0.439058583764	0.0165819367601
1	43	GO:0045595	761	5	0.0111284462301	0.0406504160326
1	43	GO:0045591	4	0	1.0	0.0406504160326
1	43	GO:0051094	514	5	0.00211928096797	0.00773463581895
1	43	GO:0032263	2	0	1.0	0.00773463581895
1	43	GO:0051403	53	2	0.003809916463	0.0138685601449
1	43	GO:0048289	1	0	1.0	0.0138685601449
1	43	GO:0032990	531	5	0.00244370211464	0.00889085966899
1	43	GO:0071731	6	0	1.0	0.00889085966899
1	43	GO:0007019	4	1	0.00538643459686	0.0195916481206
1	43	GO:0006206	31	0	1.0	0.0195916481206
1	43	GO:0031175	518	5	0.00219258958847	0.00793467960524
1	43	GO:0006422	1	0	1.0	0.00793467960524
1	43	GO:0002224	87	2	0.0102637425883	0.0370335902592
1	43	GO:0002227	4	0	1.0	0.0370335902592
1	43	GO:0002221	96	2	0.012439156762	0.044873232077
1	43	GO:0002223	2	0	1.0	0.044873232077
1	43	GO:0032526	83	2	0.00935732642284	0.0336662518396
1	43	GO:0032528	6	0	1.0	0.0336662518396
1	43	GO:0046146	7	1	0.0107445267007	0.0384093871161
1	43	GO:0034340	67	0	1.0	0.0384093871161
1	43	GO:0021530	3	1	0.00359411277499	0.0128362997351
1	43	GO:0060688	41	0	1.0	0.0128362997351
1	43	GO:0003207	8	1	0.0125242842567	0.0445716391436
1	43	GO:0022002	1	0	1.0	0.0445716391436
1	43	GO:0022008	973	9	4.44655787384e-05	0.000158188786283
1	43	GO:0022009	4	0	1.0	0.000158188786283
1	43	GO:0010807	2	1	0.00179863638266	0.00638201202162
1	43	GO:0019407	1	0	1.0	0.00638201202162
1	43	GO:0031333	55	2	0.00410833946828	0.0144832168233
1	43	GO:0031334	72	0	1.0	0.0144832168233
1	43	GO:0050776	474	4	0.00993770488588	0.0349869113512
1	43	GO:0050771	31	0	1.0	0.0349869113512
1	43	GO:0003359	1	1	0.0	0.0
1	43	GO:0003352	3	0	1.0	0.0251286441742
1	43	GO:0033762	46	3	6.36117282215e-05	0.000222578962593
1	43	GO:0034261	6	0	1.0	0.000222578962593
1	43	GO:0033278	2	1	0.00179863638266	0.00627335372104
1	43	GO:0060512	23	0	1.0	0.00627335372104
1	43	GO:0009605	1024	6	0.00931417822567	0.0323469834726
1	43	GO:0009608	3	0	1.0	0.0323469834726
1	43	GO:0006091	398	4	0.00540081840681	0.0186428525336
1	43	GO:0006090	27	0	1.0	0.0186428525336
1	43	GO:0007612	68	2	0.00630125250737	0.0216913486519
1	43	GO:0007613	53	0	1.0	0.0216913486519
1	43	GO:0007611	125	3	0.00137864564043	0.00474485528995
1	43	GO:0002268	2	0	1.0	0.00474485528995
1	43	GO:0016082	2	1	0.00179863638266	0.00615781446424
1	43	GO:0034248	1	0	1.0	0.00615781446424
1	43	GO:0021779	6	1	0.0089616361626	0.0306664293312
1	43	GO:0021778	5	1	0.00717560725851	0.0245530221097
1	43	GO:0002467	7	0	1.0	0.0245530221097
1	43	GO:0048583	1862	9	0.00500743133439	0.0170596645855
1	43	GO:0035376	2	0	1.0	0.0170596645855
1	43	GO:0001709	40	2	0.0021320097674	0.00721645334676
1	43	GO:0070092	4	0	1.0	0.00721645334676
1	43	GO:0031110	35	3	2.59213386469e-05	8.7355938138e-05
1	43	GO:0031111	23	3	6.04808403242e-06	2.03809143002e-05
1	43	GO:0031112	13	1	0.0213762651036	2.03809143002e-05
1	43	GO:0031113	17	2	0.000326903951926	0.00110145739441
1	43	GO:0031114	17	2	0.000326903951926	0.00110138345621
1	43	GO:0031115	7	2	3.14916435614e-05	0.00010609246814
1	43	GO:0031116	10	0	1.0	0.00010609246814
1	43	GO:0031117	3	1	0.00359411277499	0.0121066120924
1	43	GO:0031118	1	0	1.0	0.0121066120924
1	43	GO:0023052	3701	18	2.83669823993e-05	9.50870798519e-05
1	43	GO:0006944	61	0	1.0	9.50870798519e-05
1	43	GO:0051261	7	2	3.14916435614e-05	0.000105258763342
1	43	GO:0051262	63	1	0.105739924871	0.000105258763342
1	43	GO:0021754	2	1	0.00179863638266	0.00600462684886
1	43	GO:0021750	1	0	1.0	0.00600462684886
1	43	GO:0007399	1515	11	5.20887860835e-05	0.00017375622581
1	43	GO:0007398	18	0	1.0	0.00017375622581
1	43	GO:0006112	141	3	0.0019615372352	0.00651293687713
1	43	GO:0006113	3	0	1.0	0.00651293687713
1	43	GO:0007409	433	5	0.000987886760286	0.00326713471921
1	43	GO:0009648	4	0	1.0	0.00326713471921
1	43	GO:0050793	1067	6	0.0112806759594	0.0370026224691
1	43	GO:0050792	79	0	1.0	0.0370026224691
1	43	GO:0050790	1238	7	0.00597728855289	0.0196027255926
1	43	GO:0006585	1	0	1.0	0.0196027255926
1	43	GO:0050794	7278	22	0.00342337752588	0.0112241519482
1	43	GO:0010915	4	0	1.0	0.0112241519482
1	43	GO:0031399	815	5	0.0146469593137	0.0479349822608
1	43	GO:0031396	151	0	1.0	0.0479349822608
1	43	GO:0043933	873	6	0.00433541477241	0.0141690738704
1	43	GO:0043932	2	0	1.0	0.0141690738704
1	43	GO:0003211	8	1	0.0125242842567	0.0404110464058
1	43	GO:0000917	2	0	1.0	0.0404110464058
1	43	GO:0043393	67	2	0.00611725006946	0.0196873857638
1	43	GO:0043392	22	0	1.0	0.0196873857638
1	43	GO:0034142	76	2	0.00786284525544	0.0253020583042
1	43	GO:0034143	7	0	1.0	0.0253020583042
1	43	GO:0046856	7	1	0.0107445267007	0.0342849383375
1	43	GO:0046855	5	0	1.0	0.0342849383375
1	43	GO:2000300	4	1	0.00538643459686	0.017140828837
1	43	GO:0051958	1	0	1.0	0.017140828837
1	43	GO:0001764	74	2	0.00745764593723	0.0235363924788
1	43	GO:0001765	2	0	1.0	0.0235363924788
1	43	GO:0007258	4	1	0.00538643459686	0.0167916243737
1	43	GO:0007259	36	0	1.0	0.0167916243737
1	43	GO:0032879	1009	9	5.90777733507e-05	0.000183928630015
1	43	GO:0050748	5	0	1.0	0.000183928630015
1	43	GO:0048505	8	1	0.0125242842567	0.0387996930339
1	43	GO:0006154	3	0	1.0	0.0387996930339
1	43	GO:0044087	241	4	0.000857952305005	0.00264646464189
1	43	GO:0045355	1	0	1.0	0.00264646464189
1	43	GO:0051716	4120	15	0.00391641331031	0.0120237817497
1	43	GO:0051712	4	0	1.0	0.0120237817497
1	43	GO:0031558	5	1	0.00717560725851	0.0219372436075
1	43	GO:0035019	26	0	1.0	0.0219372436075
1	43	GO:0031557	6	1	0.0089616361626	0.0273908117046
1	43	GO:0090043	1	0	1.0	0.0273908117046
1	43	GO:0090045	2	1	0.00179863638266	0.00549577255849
1	43	GO:0090044	1	0	1.0	0.00549577255849
1	43	GO:0007275	3440	16	0.000169731753854	0.000517327790487
1	43	GO:0007276	452	2	0.193848149282	0.000517327790487
1	43	GO:0032147	148	3	0.00225805543827	0.00687109266682
1	43	GO:0032692	9	0	1.0	0.00687109266682
1	43	GO:0030154	2064	12	0.000190903708476	0.000574359017408
1	43	GO:0030150	2	0	1.0	0.000574359017408
1	43	GO:0061104	1	1	0.0	0.0
1	43	GO:0061102	1	1	0.0	0.0
1	43	GO:0042271	3	1	0.00359411277499	0.0108049428078
1	43	GO:0042270	1	0	1.0	0.0108049428078
1	43	GO:0016043	3366	12	0.0129565843316	0.0386502803924
1	43	GO:0016042	203	1	0.3059355381	0.0386502803924
1	43	GO:0042063	109	2	0.0159031417926	0.0474146778288
1	43	GO:0071277	15	0	1.0	0.0474146778288
1	43	GO:0043254	146	3	0.00217067222005	0.00646986393043
1	43	GO:0043255	37	0	1.0	0.00646986393043
1	43	GO:0008063	77	2	0.00806910440098	0.0239072225434
1	43	GO:0014032	43	0	1.0	0.0239072225434
1	43	GO:0051345	386	4	0.00484465704513	0.0143242024798
1	43	GO:0051344	2	0	1.0	0.0143242024798
1	43	GO:0007417	566	5	0.00322380342466	0.00948377550459
1	43	GO:0042214	2	0	1.0	0.00948377550459
1	43	GO:0042044	38	2	0.00191498015392	0.00558730693672
1	43	GO:0042045	3	0	1.0	0.00558730693672
1	43	GO:0071259	1	1	0.0	0.0
1	43	GO:0034621	544	4	0.0158487046991	0.0461904935165
1	43	GO:0034620	24	0	1.0	0.0461904935165
1	43	GO:0034623	110	3	0.000944362020462	0.00275199035052
1	43	GO:0034622	427	1	0.538749511031	0.00275199035052
1	43	GO:0061351	35	2	0.00161043376698	0.00469164562135
1	43	GO:0061350	1	0	1.0	0.00469164562135
1	43	GO:0014016	1	1	0.0	0.0
1	43	GO:0070849	8	1	0.0125242842567	0.0362929461226
1	43	GO:0032436	30	0	1.0	0.0362929461226
1	43	GO:0010518	111	2	0.016468794911	0.0471758927336
1	43	GO:0040008	441	2	0.186685119641	0.0471758927336
1	43	GO:0051494	70	3	0.000239614372683	0.00068513902837
1	43	GO:0051493	196	3	0.00504210792954	0.00068513902837
1	43	GO:0051492	25	0	1.0	0.0144162810176
1	43	GO:0035556	1347	9	0.000525208004261	0.00149901562319
1	43	GO:0035557	4	0	1.0	0.00149901562319
1	43	GO:0008283	470	4	0.00965234956132	0.0274461177544
1	43	GO:0042891	1	0	1.0	0.0274461177544
1	43	GO:2000026	847	6	0.00373685445406	0.0105926084406
1	43	GO:2000027	94	0	1.0	0.0105926084406
1	43	GO:0007165	3295	15	0.000377234358513	0.00106865679595
1	43	GO:0007166	1750	11	0.000191062443373	0.000541224970815
1	43	GO:0007167	612	5	0.00450509896303	0.000541224970815
1	43	GO:0007168	11	0	1.0	0.0127609299032
1	43	GO:0007169	488	4	0.0109797033399	0.0310970775141
1	43	GO:0071684	3	0	1.0	0.0310970775141
1	43	GO:0015980	287	3	0.0144238185521	0.0407068968247
1	43	GO:0046394	233	0	1.0	0.0407068968247
1	43	GO:0035494	1	1	0.0	0.0
1	43	GO:0043624	98	3	0.000668506210155	0.00188126306071
1	43	GO:0043623	179	1	0.275039978384	0.00188126306071
1	43	GO:0071214	97	2	0.0126922890324	0.0355959983536
1	43	GO:0090197	4	0	1.0	0.0355959983536
1	43	GO:0060164	4	1	0.00538643459686	0.0151047688243
1	43	GO:0046709	1	0	1.0	0.0151047688243
1	43	GO:0071000	1	1	0.0	0.0
1	43	GO:0043085	804	5	0.0138762458153	0.0385523818139
1	43	GO:0043084	5	1	0.00717560725851	0.019934890308
1	43	GO:0035709	1	0	1.0	0.019934890308
1	43	GO:0045860	312	3	0.0180285701809	0.049991930242
1	43	GO:0017143	2	0	1.0	0.049991930242
1	43	GO:0002634	9	1	0.0143009142063	0.0393467209742
1	43	GO:0051988	2	0	1.0	0.0393467209742
1	43	GO:0006796	845	5	0.0168951762841	0.0463269721207
